RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544859874352	 	3.0.1
REQUEST	79		random	1544859876225	1544859876415	OK	 
USER	XhinLiang random api	214	START	1544859876390	1544859876390
USER	XhinLiang random api	221	START	1544859876413	1544859876413
USER	XhinLiang random api	217	START	1544859876392	1544859876392
USER	XhinLiang random api	226	START	1544859876415	1544859876415
REQUEST	25		random	1544859876178	1544859876416	OK	 
USER	XhinLiang random api	225	START	1544859876415	1544859876415
USER	XhinLiang random api	215	START	1544859876390	1544859876390
USER	XhinLiang random api	228	START	1544859876420	1544859876420
REQUEST	87		random	1544859876228	1544859876421	OK	 
REQUEST	52		random	1544859876212	1544859876413	OK	 
USER	XhinLiang random api	229	START	1544859876420	1544859876420
REQUEST	104		random	1544859876266	1544859876411	OK	 
USER	XhinLiang random api	220	START	1544859876410	1544859876410
USER	XhinLiang random api	218	START	1544859876393	1544859876393
REQUEST	71		random	1544859876233	1544859876425	OK	 
REQUEST	33		random	1544859876185	1544859876431	OK	 
USER	XhinLiang random api	236	START	1544859876428	1544859876428
USER	XhinLiang random api	223	START	1544859876415	1544859876415
USER	XhinLiang random api	230	START	1544859876420	1544859876420
USER	XhinLiang random api	233	START	1544859876421	1544859876421
USER	XhinLiang random api	240	START	1544859876439	1544859876439
USER	XhinLiang random api	227	START	1544859876419	1544859876419
REQUEST	95		random	1544859876234	1544859876440	OK	 
USER	XhinLiang random api	234	START	1544859876424	1544859876424
USER	XhinLiang random api	224	START	1544859876415	1544859876415
USER	XhinLiang random api	243	START	1544859876447	1544859876447
USER	XhinLiang random api	244	START	1544859876447	1544859876447
USER	XhinLiang random api	235	START	1544859876426	1544859876426
USER	XhinLiang random api	245	START	1544859876448	1544859876448
USER	XhinLiang random api	242	START	1544859876445	1544859876445
USER	XhinLiang random api	247	START	1544859876449	1544859876449
USER	XhinLiang random api	249	START	1544859876449	1544859876449
USER	XhinLiang random api	246	START	1544859876449	1544859876449
USER	XhinLiang random api	248	START	1544859876449	1544859876449
USER	XhinLiang random api	250	START	1544859876451	1544859876451
USER	XhinLiang random api	251	START	1544859876452	1544859876452
USER	XhinLiang random api	253	START	1544859876452	1544859876452
USER	XhinLiang random api	232	START	1544859876420	1544859876420
USER	XhinLiang random api	256	START	1544859876473	1544859876473
USER	XhinLiang random api	257	START	1544859876474	1544859876474
USER	XhinLiang random api	258	START	1544859876474	1544859876474
USER	XhinLiang random api	252	START	1544859876452	1544859876452
USER	XhinLiang random api	254	START	1544859876452	1544859876452
USER	XhinLiang random api	259	START	1544859876476	1544859876476
REQUEST	103		random	1544859876249	1544859876475	OK	 
USER	XhinLiang random api	255	START	1544859876453	1544859876453
USER	XhinLiang random api	262	START	1544859876479	1544859876479
USER	XhinLiang random api	263	START	1544859876479	1544859876479
USER	XhinLiang random api	264	START	1544859876480	1544859876480
USER	XhinLiang random api	265	START	1544859876480	1544859876480
USER	XhinLiang random api	266	START	1544859876482	1544859876482
USER	XhinLiang random api	268	START	1544859876483	1544859876483
REQUEST	41		random	1544859876186	1544859876483	OK	 
USER	XhinLiang random api	267	START	1544859876483	1544859876483
USER	XhinLiang random api	269	START	1544859876484	1544859876484
USER	XhinLiang random api	270	START	1544859876485	1544859876485
USER	XhinLiang random api	271	START	1544859876485	1544859876485
USER	XhinLiang random api	272	START	1544859876486	1544859876486
USER	XhinLiang random api	273	START	1544859876486	1544859876486
USER	XhinLiang random api	274	START	1544859876487	1544859876487
USER	XhinLiang random api	275	START	1544859876487	1544859876487
USER	XhinLiang random api	276	START	1544859876487	1544859876487
USER	XhinLiang random api	277	START	1544859876488	1544859876488
USER	XhinLiang random api	278	START	1544859876488	1544859876488
REQUEST	49		random	1544859876191	1544859876488	OK	 
USER	XhinLiang random api	279	START	1544859876489	1544859876489
USER	XhinLiang random api	280	START	1544859876489	1544859876489
USER	XhinLiang random api	281	START	1544859876489	1544859876489
REQUEST	57		random	1544859876205	1544859876490	OK	 
USER	XhinLiang random api	282	START	1544859876490	1544859876490
USER	XhinLiang random api	283	START	1544859876490	1544859876490
USER	XhinLiang random api	284	START	1544859876490	1544859876490
REQUEST	65		random	1544859876215	1544859876491	OK	 
USER	XhinLiang random api	285	START	1544859876491	1544859876491
REQUEST	120		random	1544859876277	1544859876491	OK	 
USER	XhinLiang random api	241	START	1544859876440	1544859876440
USER	XhinLiang random api	231	START	1544859876420	1544859876420
USER	XhinLiang random api	288	START	1544859876497	1544859876497
USER	XhinLiang random api	290	START	1544859876498	1544859876498
USER	XhinLiang random api	291	START	1544859876498	1544859876498
USER	XhinLiang random api	238	START	1544859876438	1544859876438
USER	XhinLiang random api	293	START	1544859876500	1544859876500
USER	XhinLiang random api	294	START	1544859876500	1544859876500
USER	XhinLiang random api	289	START	1544859876497	1544859876497
USER	XhinLiang random api	295	START	1544859876500	1544859876500
USER	XhinLiang random api	296	START	1544859876501	1544859876501
USER	XhinLiang random api	297	START	1544859876501	1544859876501
USER	XhinLiang random api	298	START	1544859876502	1544859876502
USER	XhinLiang random api	299	START	1544859876502	1544859876502
USER	XhinLiang random api	239	START	1544859876439	1544859876439
USER	XhinLiang random api	300	START	1544859876503	1544859876503
USER	XhinLiang random api	301	START	1544859876503	1544859876503
USER	XhinLiang random api	302	START	1544859876503	1544859876503
USER	XhinLiang random api	303	START	1544859876503	1544859876503
USER	XhinLiang random api	304	START	1544859876504	1544859876504
USER	XhinLiang random api	307	START	1544859876504	1544859876504
USER	XhinLiang random api	308	START	1544859876505	1544859876505
USER	XhinLiang random api	305	START	1544859876504	1544859876504
USER	XhinLiang random api	219	START	1544859876400	1544859876400
REQUEST	30		random	1544859876171	1544859876507	OK	 
REQUEST	38		random	1544859876189	1544859876508	OK	 
USER	XhinLiang random api	310	START	1544859876506	1544859876506
REQUEST	73		random	1544859876221	1544859876492	OK	 
REQUEST	136		random	1544859876280	1544859876497	OK	 
USER	XhinLiang random api	311	START	1544859876511	1544859876511
USER	XhinLiang random api	312	START	1544859876521	1544859876521
USER	XhinLiang random api	313	START	1544859876521	1544859876521
REQUEST	144		random	1544859876283	1544859876518	OK	 
REQUEST	56		random	1544859876286	1544859876523	OK	 
USER	XhinLiang random api	237	START	1544859876438	1544859876438
REQUEST	77		random	1544859876223	1544859876477	OK	 
USER	XhinLiang random api	292	START	1544859876499	1544859876499
REQUEST	85		random	1544859876228	1544859876529	OK	 
USER	XhinLiang random api	316	START	1544859876530	1544859876530
USER	XhinLiang random api	306	START	1544859876504	1544859876504
USER	XhinLiang random api	317	START	1544859876531	1544859876531
USER	XhinLiang random api	286	START	1544859876491	1544859876491
USER	XhinLiang random api	319	START	1544859876533	1544859876533
USER	XhinLiang random api	321	START	1544859876534	1544859876534
REQUEST	21		random	1544859876232	1544859876532	OK	 
USER	XhinLiang random api	318	START	1544859876533	1544859876533
USER	XhinLiang random api	323	START	1544859876536	1544859876536
REQUEST	111		random	1544859876255	1544859876532	OK	 
REQUEST	93		random	1544859876233	1544859876536	OK	 
USER	XhinLiang random api	315	START	1544859876528	1544859876528
REQUEST	69		random	1544859876234	1544859876538	OK	 
REQUEST	81		random	1544859876225	1544859876539	OK	 
USER	XhinLiang random api	322	START	1544859876534	1544859876534
USER	XhinLiang random api	326	START	1544859876540	1544859876540
REQUEST	46		random	1544859876193	1544859876541	OK	 
USER	XhinLiang random api	327	START	1544859876541	1544859876541
USER	XhinLiang random api	328	START	1544859876541	1544859876541
REQUEST	62		random	1544859876213	1544859876542	OK	 
USER	XhinLiang random api	329	START	1544859876542	1544859876542
REQUEST	101		random	1544859876243	1544859876539	OK	 
REQUEST	128		random	1544859876299	1544859876544	OK	 
REQUEST	75		random	1544859876222	1544859876553	OK	 
REQUEST	83		random	1544859876226	1544859876555	OK	 
USER	XhinLiang random api	331	START	1544859876557	1544859876557
USER	XhinLiang random api	309	START	1544859876506	1544859876506
USER	XhinLiang random api	287	START	1544859876512	1544859876512
USER	XhinLiang random api	332	START	1544859876560	1544859876560
USER	XhinLiang random api	333	START	1544859876560	1544859876560
USER	XhinLiang random api	334	START	1544859876561	1544859876561
USER	XhinLiang random api	335	START	1544859876561	1544859876561
REQUEST	91		random	1544859876232	1544859876557	OK	 
